Epoch,distance,True_Accepts,False_Accepts
0,0.2,0.12244897959183673,0.0
0,0.7,0.649795918367347,0.6996
0,1.2,0.9983673469387755,1.0
0,1.7,1.0,1.0
1,0.2,0.2897959183673469,0.3876
1,0.7,0.9934693877551021,1.0
1,1.2,1.0,1.0
1,1.7,1.0,1.0
2,0.2,0.31755102040816324,0.0
2,0.7,0.9640816326530612,0.8856
2,1.2,1.0,1.0
2,1.7,1.0,1.0
3,0.2,0.8938775510204081,0.8336
3,0.7,1.0,1.0
3,1.2,1.0,1.0
3,1.7,1.0,1.0
4,0.2,0.23020408163265307,0.0
4,0.7,0.926530612244898,0.9568
4,1.2,1.0,1.0
4,1.7,1.0,1.0
5,0.2,0.9191836734693878,0.8948
5,0.7,1.0,1.0
5,1.2,1.0,1.0
5,1.7,1.0,1.0
6,0.2,0.0473469387755102,0.0
6,0.7,0.27346938775510204,0.0744
6,1.2,0.5526530612244898,0.5732
6,1.7,0.8008163265306123,0.7696
7,0.2,0.2473469387755102,0.4184
7,0.7,0.9648979591836735,0.98
7,1.2,1.0,1.0
7,1.7,1.0,1.0
8,0.2,0.23673469387755103,0.0004
8,0.7,0.6906122448979591,0.6184
8,1.2,1.0,1.0
8,1.7,1.0,1.0
9,0.2,0.3142857142857143,0.3744
9,0.7,1.0,1.0
9,1.2,1.0,1.0
9,1.7,1.0,1.0
10,0.2,0.23591836734693877,0.0
10,0.7,0.88,0.5416
10,1.2,0.9828571428571429,0.9744
10,1.7,0.9991836734693877,1.0
11,0.2,0.2342857142857143,0.0
11,0.7,0.4726530612244898,0.4712
11,1.2,0.76,0.6436
11,1.7,0.9616326530612245,0.848
12,0.2,0.1673469387755102,0.0
12,0.7,0.4751020408163265,0.0012
12,1.2,0.7444897959183674,0.2852
12,1.7,0.9183673469387755,0.6236
13,0.2,0.24816326530612245,0.0
13,0.7,0.9020408163265307,0.3348
13,1.2,0.9975510204081632,0.9004
13,1.7,1.0,1.0
14,0.2,0.34448979591836737,0.0
14,0.7,1.0,0.9832
14,1.2,1.0,1.0
14,1.7,1.0,1.0
15,0.2,0.17387755102040817,0.0
15,0.7,0.4775510204081633,0.1364
15,1.2,0.7804081632653062,0.7176
15,1.7,0.8922448979591837,0.774
16,0.2,0.3314285714285714,0.0
16,0.7,0.9942857142857143,0.9212
16,1.2,1.0,1.0
16,1.7,1.0,1.0
17,0.2,0.12571428571428572,0.0
17,0.7,0.42448979591836733,0.0
17,1.2,0.8048979591836735,0.162
17,1.7,0.9853061224489796,0.5796
18,0.2,0.2163265306122449,0.0
18,0.7,0.5004081632653061,0.0
18,1.2,0.6718367346938775,0.22
18,1.7,0.88,0.67
19,0.2,0.13387755102040816,0.0
19,0.7,0.3485714285714286,0.0
19,1.2,0.5722448979591837,0.052
19,1.7,0.8081632653061225,0.5348
20,0.2,0.2146938775510204,0.0
20,0.7,0.7028571428571428,0.0584
20,1.2,0.9714285714285714,0.7976
20,1.7,1.0,0.9816
21,0.2,0.25142857142857145,0.0
21,0.7,0.7004081632653061,0.4828
21,1.2,0.9877551020408163,0.9288
21,1.7,1.0,1.0
22,0.2,0.2073469387755102,0.0
22,0.7,0.5526530612244898,0.0
22,1.2,0.9004081632653061,0.0008
22,1.7,0.9853061224489796,0.5708
23,0.2,0.2236734693877551,0.0
23,0.7,0.35428571428571426,0.0
23,1.2,0.723265306122449,0.0036
23,1.7,0.9363265306122449,0.4372
24,0.2,0.23673469387755103,0.0
24,0.7,0.5975510204081632,0.0
24,1.2,0.9306122448979591,0.0048
24,1.7,0.9983673469387755,0.1516
